hue_index,Bc1,Bc6,Bc8,Bc9,Bc11,Bc12,Bt2,Bt3,Bt4,Bt5,Bt7,Bt10,Nt1,Nc2,Nt3,Nc4,Nc5,Nt6,Nc7,Nt8,Nc9,Nt10,Nc11,Nt12,Jt1,Jt4,Jt7,Jt8,Jt9,Jt11,Jc2,Jc3,Jc5,Jc6,Jc10,Jc12
0,23.71,45.27,43.63,41.31,37.85,52.14,36.47,40.1,49.59,35.4,44.6,45.68,28.1,30.0,39.39,28.56,28.83,30.35,29.79,29.93,32.58,23.5,30.05,25.81,23.37,25.69,24.22,26.37,26.62,21.58,29.4,27.77,28.5,25.84,28.69,29.58
1,23.71,45.27,43.63,41.31,37.87,52.43,36.56,40.1,49.71,35.52,44.87,45.72,28.11,30.0,39.39,28.56,28.83,30.36,29.79,29.94,32.58,23.51,30.09,25.81,23.38,25.69,24.22,26.38,26.62,21.59,29.4,27.77,28.5,25.84,28.69,29.58
2,23.71,45.27,43.63,41.31,37.87,52.43,36.56,40.1,49.71,35.52,44.87,45.72,28.11,30.0,39.39,28.56,28.83,30.36,29.79,29.94,32.58,23.51,30.09,25.81,23.38,25.69,24.22,26.38,26.62,21.59,29.4,27.77,28.5,25.84,28.69,29.58
3,23.71,45.27,43.63,41.31,37.87,52.43,36.56,40.1,49.71,35.52,44.87,45.72,28.11,30.0,39.39,28.56,28.83,30.36,29.79,29.94,32.58,23.51,30.09,25.81,23.38,25.69,24.22,26.38,26.62,21.59,29.4,27.77,28.5,25.84,28.69,29.58
4,23.71,45.27,43.63,41.31,37.87,52.43,36.56,40.1,49.71,35.52,44.87,45.72,28.11,30.0,39.39,28.56,28.83,30.36,29.79,29.94,32.58,23.51,30.09,25.81,23.38,25.69,24.22,26.38,26.62,21.59,29.4,27.77,28.5,25.84,28.7,29.58
5,23.71,45.27,43.63,41.31,37.87,52.43,36.56,40.1,49.71,35.52,44.87,45.72,28.11,30.0,39.39,28.56,28.83,30.36,29.79,29.94,32.58,23.51,30.09,25.81,23.38,25.7,24.22,26.38,26.62,21.59,29.4,27.77,28.5,25.84,28.7,29.58
6,23.71,45.27,43.63,41.32,37.87,52.43,36.56,40.1,49.72,35.52,44.88,45.73,28.11,30.01,39.39,28.56,28.83,30.36,29.79,29.94,32.58,23.51,30.1,25.82,23.38,25.7,24.22,26.38,26.62,21.59,29.4,27.77,28.5,25.84,28.7,29.59
7,23.71,45.27,43.63,41.32,37.89,52.6,36.75,40.1,50.18,35.56,44.91,45.9,28.13,30.01,39.39,28.58,28.83,30.37,29.8,29.95,32.58,23.51,30.12,25.82,23.39,25.7,24.23,26.38,26.62,21.59,29.41,27.77,28.51,25.84,28.7,29.59
8,23.71,45.27,43.63,41.32,37.89,52.6,36.75,40.1,50.18,35.56,44.91,45.9,28.13,30.01,39.39,28.58,28.83,30.38,29.8,29.95,32.59,23.51,30.12,25.82,23.39,25.7,24.23,26.38,26.62,21.6,29.41,27.77,28.51,25.84,28.7,29.59
9,23.71,45.27,43.63,41.33,37.9,52.61,36.76,40.1,50.2,35.56,44.92,45.97,28.13,30.02,39.39,28.59,28.84,30.39,29.82,29.95,32.59,23.51,30.16,25.83,23.39,25.7,24.23,26.39,26.63,21.6,29.41,27.78,28.51,25.84,28.7,29.59
10,23.71,45.27,43.63,41.34,37.9,52.61,36.76,40.11,50.21,35.57,44.92,46.0,28.13,30.03,39.4,28.59,28.85,30.39,29.83,29.96,32.59,23.51,30.16,25.83,23.4,25.7,24.23,26.39,26.63,21.6,29.41,27.78,28.51,25.84,28.71,29.59
11,23.71,45.27,43.63,41.35,37.9,52.61,36.76,40.11,50.21,35.57,44.93,46.04,28.14,30.03,39.4,28.59,28.85,30.4,29.83,29.96,32.59,23.52,30.18,25.84,23.4,25.71,24.24,26.4,26.63,21.61,29.41,27.78,28.51,25.84,28.72,29.59
12,23.71,45.3,43.64,41.38,37.91,52.62,36.79,40.13,50.26,35.59,44.96,46.13,28.16,30.04,39.4,28.61,28.87,30.42,29.85,29.98,32.59,23.52,30.26,25.85,23.41,25.71,24.25,26.41,26.64,21.63,29.41,27.79,28.52,25.85,28.73,29.6
13,23.71,45.31,43.65,41.44,37.91,52.62,36.8,40.14,50.28,35.6,44.97,46.19,28.17,30.05,39.41,28.62,28.87,30.43,29.86,29.98,32.6,23.52,30.27,25.86,23.43,25.72,24.27,26.42,26.64,21.71,29.42,27.8,28.53,25.86,28.74,29.61
14,23.71,45.42,43.7,41.55,37.95,52.7,36.93,40.26,50.6,35.67,45.05,46.76,28.31,30.07,39.44,28.71,28.94,30.5,29.97,30.03,32.63,23.57,30.6,25.92,23.46,25.74,24.31,26.47,26.67,21.85,29.44,27.83,28.55,25.88,28.77,29.64
15,23.72,45.46,43.76,41.71,37.96,52.72,36.96,40.34,50.66,35.71,45.1,46.87,28.7,30.11,39.46,28.74,29.0,30.66,30.01,30.05,32.65,23.57,30.64,25.94,23.49,25.75,24.36,26.5,26.71,22.02,29.46,27.86,28.59,25.91,28.8,29.69
16,23.72,45.6,43.82,42.06,37.99,52.77,37.03,40.48,50.76,35.78,45.16,47.02,30.35,30.21,39.53,28.79,29.11,30.88,30.1,30.14,32.7,23.6,30.72,25.99,23.57,25.8,24.45,26.56,26.78,22.25,29.53,27.91,28.68,25.99,28.88,29.76
17,23.74,45.94,44.21,43.07,38.03,52.85,37.17,41.22,50.9,35.87,45.27,47.34,33.21,30.36,39.78,28.94,30.19,31.52,30.4,30.42,32.84,23.69,30.88,26.13,23.65,25.92,24.59,26.67,26.94,22.53,29.65,27.98,28.81,26.1,29.0,29.9
18,23.81,46.3,44.39,44.98,38.18,53.01,37.35,41.67,51.07,36.03,45.45,47.58,35.48,30.68,40.66,29.09,30.37,31.89,30.59,30.84,33.23,23.73,31.05,26.22,23.75,26.17,24.73,26.83,27.1,22.83,29.89,28.07,29.03,26.32,29.2,30.13
19,24.21,47.1,44.78,48.63,39.53,53.18,37.56,42.56,51.32,36.34,46.01,47.96,37.01,32.77,45.78,29.3,30.85,32.58,30.89,32.21,34.9,23.86,31.34,26.45,23.95,26.56,25.01,27.11,27.29,23.2,30.22,28.19,29.35,26.65,29.38,30.41
20,24.84,49.6,45.49,59.47,45.49,53.66,37.93,44.58,51.83,36.97,47.08,50.07,38.69,33.28,51.87,29.83,31.73,33.43,31.57,35.45,38.57,23.99,32.06,26.93,26.04,27.61,25.49,27.6,27.51,23.77,30.68,28.38,30.15,27.24,29.7,30.77
21,31.88,53.99,50.65,79.23,58.34,57.16,39.7,46.92,58.05,39.66,50.16,54.07,40.11,38.68,55.64,30.61,32.7,34.68,32.14,39.71,41.14,24.13,32.65,27.63,39.59,35.74,26.65,29.35,27.73,24.68,31.6,28.91,33.38,28.96,30.11,31.24
22,61.81,77.76,76.5,88.58,75.88,63.18,42.04,62.19,61.33,49.08,58.51,60.97,43.8,39.53,57.04,32.75,35.62,38.31,33.85,43.23,44.01,24.96,34.39,30.22,60.77,52.2,32.35,41.25,28.1,26.68,36.05,35.52,47.98,36.91,30.75,32.27
23,83.02,94.24,87.01,91.97,85.18,79.82,55.18,81.96,77.98,72.83,77.12,77.95,46.51,40.57,60.2,34.81,38.39,41.69,34.39,45.46,49.46,25.82,36.46,34.81,68.91,70.75,48.11,63.69,29.91,33.36,62.1,56.28,64.95,51.07,32.67,35.61
24,89.56,97.79,90.38,94.51,87.44,84.71,73.16,88.42,81.81,83.24,83.81,85.63,51.18,42.35,60.98,37.43,48.08,47.15,35.33,47.39,59.88,26.47,41.01,43.7,72.79,77.21,68.0,70.74,38.5,51.42,72.27,67.81,72.28,66.43,48.01,44.28
25,93.34,99.31,92.79,96.15,89.21,87.4,78.49,91.55,85.57,85.83,85.87,89.09,54.47,53.0,61.64,47.18,66.19,63.1,37.9,50.26,77.68,33.56,52.69,60.89,76.29,79.85,73.46,74.67,57.2,66.44,75.67,72.14,76.0,72.82,66.53,59.96
26,98.07,99.92,95.39,97.68,91.2,88.86,81.33,96.67,87.34,88.17,87.38,90.51,57.76,66.68,63.05,60.71,74.19,70.0,48.11,54.01,88.17,50.49,68.86,69.52,78.18,82.07,76.38,77.25,63.03,70.39,78.4,75.67,78.62,77.57,73.6,71.13
27,99.85,99.99,97.66,98.67,92.96,89.91,83.72,99.75,88.32,90.51,88.67,91.54,60.69,73.74,67.04,69.14,80.77,74.39,68.41,58.97,92.82,62.83,75.21,74.75,80.22,84.13,78.85,79.84,67.94,74.22,81.17,79.07,81.45,80.97,77.71,76.75
28,99.99,100.0,99.55,99.92,94.71,91.1,86.1,100.0,89.4,92.61,89.85,92.69,63.85,78.48,70.84,75.53,84.31,77.77,77.45,64.49,94.59,71.21,79.48,78.49,81.82,85.99,81.03,82.19,72.65,77.28,83.57,81.76,84.41,83.33,80.83,80.42
29,100.0,100.0,99.98,100.0,97.2,92.4,88.46,100.0,90.59,94.56,91.01,93.91,67.73,82.12,75.42,80.83,86.67,79.94,82.33,69.22,95.74,77.9,82.8,80.87,83.38,87.68,82.91,84.18,76.31,79.96,85.71,84.01,86.81,85.3,83.69,83.37
30,100.0,100.0,100.0,100.0,98.77,93.47,90.59,100.0,91.81,96.19,92.12,95.31,70.73,85.0,78.62,84.27,88.48,81.9,84.51,73.0,96.46,80.52,85.53,82.77,84.58,89.08,84.39,85.69,78.98,82.17,87.56,85.82,88.52,86.8,85.68,85.65
31,100.0,100.0,100.0,100.0,99.74,96.08,92.8,100.0,94.51,98.15,94.58,96.77,76.05,88.28,81.72,87.31,90.61,84.31,90.57,76.05,97.27,83.2,87.89,85.76,86.46,90.65,85.97,87.43,81.66,84.49,89.16,87.87,90.28,88.64,88.21,87.66
32,100.0,100.0,100.0,100.0,99.94,96.86,94.45,100.0,95.87,99.37,95.58,98.04,80.87,90.8,84.13,90.05,92.4,86.63,92.87,79.16,97.91,85.57,90.03,88.02,87.85,91.93,87.31,88.82,83.62,86.12,90.57,89.31,91.65,90.34,90.07,89.33
