N,1,control,1,37.0,72.0,0.858421747697848,171.0
N,3,treatment,1,37.0,72.0,0.7828182157346292,172.0
N,7,treatment,1,37.0,72.0,0.7884743097634719,168.0
N,5,control,1,37.0,72.0,0.8632945680846081,165.0
N,2,treatment,1,37.0,72.0,0.7901324001882661,160.0
N,4,treatment,1,37.0,72.0,0.797136827980752,162.0
N,6,control,1,37.0,72.0,0.8700531204465115,162.0
N,8,control,1,37.0,72.0,0.8584168361599582,175.0
N,3,treatment,2,40.0,72.0,0.7919752304447939,777
N,1,control,2,40.0,72.0,0.8686735584961137,777
N,5,control,2,40.0,72.0,0.8746686130306964,777
N,7,treatment,2,40.0,72.0,0.7901295665964886,777
N,2,treatment,2,40.0,72.0,0.7942716949998915,777
N,6,control,2,40.0,72.0,0.8753067774732288,777
N,4,treatment,2,40.0,72.0,0.8004486050980159,777
N,8,control,2,40.0,72.0,0.8593163198569033,777
N,3,treatment,3,36.0,73.0,0.7877843489046892,777
N,1,control,3,36.0,73.0,0.8678208925421811,777
N,5,control,3,36.0,73.0,0.8612831954528842,777
N,7,treatment,3,36.0,73.0,0.7897881009690932,777
N,2,treatment,3,36.0,73.0,0.798888722421621,777
N,6,control,3,36.0,73.0,0.875858118590171,777
N,4,treatment,3,36.0,73.0,0.8013875488752349,777
N,8,control,3,36.0,73.0,0.8590549309981318,777
N,5,control,4,47.0,72.0,0.8711436682950119,777
N,7,treatment,4,47.0,72.0,0.7913532091284134,777
N,3,treatment,4,47.0,72.0,0.7980596669750232,777
N,1,control,4,47.0,72.0,0.8739183192620151,777
N,6,control,4,47.0,72.0,0.8804000270402731,777
N,4,treatment,4,47.0,72.0,0.8023674497574408,777
N,2,treatment,4,47.0,72.0,0.8045455144336553,777
N,8,control,4,47.0,72.0,0.8739451173102051,777
N,5,control,5,47.0,72.0,0.8795358612804136,777
N,7,treatment,5,47.0,72.0,0.7939238061852163,777
N,3,treatment,5,47.0,72.0,0.7947856332926247,777
N,1,control,5,47.0,72.0,0.8826635625661283,777
N,6,control,5,47.0,72.0,0.8831004230366036,777
N,4,treatment,5,47.0,72.0,0.7975380831567969,777
N,2,treatment,5,47.0,72.0,0.8153011764625623,777
N,8,control,5,47.0,72.0,0.8651562566935856,777
N,7,treatment,6,42.0,72.0,0.8055048547916576,777
N,5,control,6,42.0,72.0,0.8830012960784945,777
N,1,control,6,42.0,72.0,0.8868414670404996,777
N,3,treatment,6,42.0,72.0,0.796826687675248,777
N,4,treatment,6,42.0,72.0,0.8201352385305604,777
N,6,control,6,42.0,72.0,0.8842926134501705,777
N,2,treatment,6,42.0,72.0,0.8328677450047574,777
N,8,control,6,42.0,72.0,0.8761490913512425,777
N,7,treatment,7,37.0,72.0,0.8134165795678583,777
N,5,control,7,37.0,72.0,0.9139719534963751,777
N,1,control,7,37.0,72.0,0.8986559487843476,777
N,3,treatment,7,37.0,72.0,0.8372469706961735,777
N,4,treatment,7,37.0,72.0,0.8592454510265555,777
N,6,control,7,37.0,72.0,0.9123512387783591,777
N,2,treatment,7,37.0,72.0,0.8631228699654052,777
N,8,control,7,37.0,72.0,0.8856426173891074,777
N,8,control,8,32.0,72.0,0.9129710582113912,777
N,2,treatment,8,32.0,72.0,0.8966785228945753,777
N,4,treatment,8,32.0,72.0,0.8948640323392086,777
N,6,control,8,32.0,72.0,0.9315696716910378,777
N,1,control,8,32.0,72.0,0.9242063046442609,777
N,3,treatment,8,32.0,72.0,0.8794996728997437,777
N,7,treatment,8,32.0,72.0,0.8740525343954236,777
N,5,control,8,32.0,72.0,0.9421634942528736,777
N,8,control,9,38.0,72.0,0.9377213399307321,777
N,2,treatment,9,38.0,72.0,0.9266200710725119,777
N,4,treatment,9,38.0,72.0,0.918138123468596,777
N,6,control,9,38.0,72.0,0.9482860186526302,777
N,1,control,9,38.0,72.0,0.9429521348633714,777
N,3,treatment,9,38.0,72.0,0.9145917198067223,777
N,7,treatment,9,38.0,72.0,0.8961562502353393,777
N,5,control,9,38.0,72.0,0.9519470877450392,777
N,6,control,10,42.0,72.0,0.9627141926637824,129.0
N,8,control,10,42.0,72.0,0.9500088179198819,141.0
N,4,treatment,10,42.0,72.0,0.9347590361445783,131.0
N,2,treatment,10,42.0,72.0,0.9340207182593673,128.0
N,7,treatment,10,42.0,72.0,0.9060901510123468,134.0
N,5,control,10,42.0,72.0,0.9628618364639089,133.0
N,1,control,10,42.0,72.0,0.9532923555971728,136.0
N,3,treatment,10,42.0,72.0,0.9356551210989869,139.0
B, 3,treatment,1,43,73,0.6299784429589738,165
B, 7,treatment,1,43,73,0.7374380452412447,157
B, 2,treatment,1,43,73,0.7799801488882591,171
B, 4,treatment,1,43,73,0.7640404541446209,164
B, 3,treatment,2,45,77,0.633599359882842,777
B, 7,treatment,2,45,77,0.7388307560678592,777
B, 2,treatment,2,45,77,0.7642085865982196,777
