block,label,treatment,pre_weight_b,pre_weight_a,after_weight_b,after_weight_a,h1,t1,h2,t2,h3,t3,h4,t4,h5,t5,h6,t6,h7,t7,h8,t8,h9,t9,h10,t10
N,1,0,171,NA,136,,37,72,40,72,36,73,47,72,47,72,42,72,37,72,32,72,38,72,42,72
N,2,1,160,212,128,204,37,72,40,72,36,73,47,72,47,72,42,72,37,72,32,72,38,72,42,72
N,3,1,172,216,139,207,37,72,40,72,36,73,47,72,47,72,42,72,37,72,32,72,38,72,42,72
N,4,1,162,193,131,186,37,72,40,72,36,73,47,72,47,72,42,72,37,72,32,72,38,72,42,72
N,5,0,165,NA,133,,37,72,40,72,36,73,47,72,47,72,42,72,37,72,32,72,38,72,42,72
N,6,0,162,NA,129,,37,72,40,72,36,73,47,72,47,72,42,72,37,72,32,72,38,72,42,72
N,7,1,168,193,134,181,37,72,40,72,36,73,47,72,47,72,42,72,37,72,32,72,38,72,42,72
N,8,0,175,NA,141,,37,72,40,72,36,73,47,72,47,72,42,72,37,72,32,72,38,72,42,72
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,185,,,,,,,,,,,,,,,,,,,,
,,,,,,218,,,,,,,,,,,,,,,,,,,,
,,,,,,197,,,,,,,,,,,,,,,,,,,,
,,,,,,198,,,,,,,,,,,,,,,,,,,,
