Block,No,treatment,Pre_weight,After
B,1,C,226,207
B,2,T,208,187
B,3,T,227,206
B,4,T,201,186
B,5,T,200,182
B,6,C,203,184
B,7,T,255,236
B,8,C,199,184
B,9,C,214,195
B,10,T,200,188
B,11,C,200,181
B,12,C,218,200
J,1,T,256,253
J,11,T,228,226
J,8,T,225,222
J,7,T,244,242
J,4,T,226,225
J,9,T,238,236
J,6,C,208,195
J,12,C,237,223
J,2,C,204,190
J,5,C,257,243
J,10,C,250,237
J,3,C,270,256
N,a1,T,218,217
N,a2,C,194,174
N,a3,T,212,211
N,a4,C,197,177
N,b1,C,207,182
N,b2,T,220,219
N,b3,C,195,170
N,b4,T,194,192
N,c1,C,222,200
N,c2,T,210,209
N,c3,C,208,188
N,c4,T,197,196
